run_id,wind_regime,qsat,q0ratio,qshift_ratio,lambda2_mean,lambda2_std,outflux_mode,dt,n_steps_run,n_dunes_final,mean_width_final,std_width_final,mean_asymmetry_final,calving_count,collision_count,merging_count,exchange_count,fragmentation_count,calving_rate,seed
run_e0b6fe6e,unimodal,79.0,0.1,0.0,1.8,0.0,Duran,0.2810464135021097,2000,16,58.66992465450723,26.16953098592009,0.13647403768999214,694,269,256,12,1,0.347,980330
run_0beb88d5,unimodal,79.0,0.1,0.0,1.8,0.25,Hersen,0.2810464135021097,2000,194,84.93424186757802,23.405273726082765,0.08092718015451249,1374,1465,877,575,13,0.687,980330
run_bbaacf0b,unimodal,79.0,0.1,0.0,1.8,0.25,Duran,0.2810464135021097,2000,18,63.2725305531632,23.86445068310769,0.028697295017999298,642,279,263,15,1,0.321,980330
run_248132d2,unimodal,79.0,0.1,0.0,1.8,0.5,Hersen,0.2810464135021097,2000,189,79.61345611227893,28.171661861496716,0.07112245795311485,3616,2856,2268,573,15,1.808,980330
run_97763cb3,unimodal,79.0,0.1,0.0,1.8,0.5,Duran,0.2810464135021097,2000,16,63.50626386673983,26.906882124655464,0.08433207575152694,1222,533,513,19,1,0.611,980330
run_03dd0007,unimodal,79.0,0.1,0.1,1.8,0.0,Hersen,0.2810464135021097,2000,337,50.645749297194854,38.823585314976576,0.41081057917723895,39,2121,750,912,459,0.0195,980330
run_92ba542b,unimodal,79.0,0.1,0.1,1.8,0.0,Duran,0.2810464135021097,2000,134,13.919970858573205,20.775549854248705,0.8721454808648641,1035,337,147,116,74,0.5175,980330
run_9e5da1f1,unimodal,79.0,0.1,0.1,1.8,0.25,Hersen,0.2810464135021097,2000,295,54.69190911917574,38.06659817889997,0.35913415314820635,413,2277,856,937,484,0.2065,980330
run_0a71c3e3,unimodal,79.0,0.1,0.1,1.8,0.25,Duran,0.2810464135021097,2000,112,17.332729678413898,23.923829791191224,0.8192612928033262,1179,332,141,103,88,0.5895,980330
run_51f9ca47,unimodal,79.0,0.1,0.1,1.8,0.5,Hersen,0.2810464135021097,2000,298,52.007614066843594,36.595517900320566,0.3528185311522068,4795,5074,3405,1190,479,2.3975,980330
run_dd27d6cc,unimodal,79.0,0.1,0.1,1.8,0.5,Duran,0.2810464135021097,2000,94,17.614817716365373,24.916921597820078,0.8217175889258811,2122,777,524,183,70,1.061,980330
run_020a8438,unimodal,79.0,0.1,0.15,1.8,0.0,Hersen,0.2810464135021097,2000,416,45.27788634227417,36.26408970546448,0.45330844303422474,100,2432,656,915,861,0.05,980330
run_fdec2729,unimodal,79.0,0.1,0.15,1.8,0.0,Duran,0.2810464135021097,2000,189,13.83682535120033,19.859312001490533,0.9014745180671825,1304,360,135,132,93,0.652,980330
run_36589d2f,unimodal,79.0,0.1,0.15,1.8,0.25,Hersen,0.2810464135021097,2000,380,45.10987268987077,37.27915965308611,0.4619649257107611,349,2446,696,934,816,0.1745,980330
run_de485724,unimodal,79.0,0.1,0.15,1.8,0.25,Duran,0.2810464135021097,2000,123,16.512663637328924,20.704015453005663,0.8109921346110083,1434,394,165,146,83,0.717,980330
run_744e9a56,unimodal,79.0,0.1,0.15,1.8,0.5,Hersen,0.2810464135021097,2000,455,36.83079132606862,34.71465277700042,0.5336009519955041,7468,9137,5171,2544,1422,3.734,980330
run_53b4f6fb,unimodal,79.0,0.1,0.15,1.8,0.5,Duran,0.2810464135021097,2000,151,15.125444329160716,19.996193801692186,0.8466066336939523,2431,994,616,271,107,1.2155,980330
run_bda056e4,unimodal,79.0,0.25,0.0,1.8,0.0,Hersen,0.025620253164556957,2000,61,23.00040263440413,7.420471206842062,0.035651571067225274,447,14,8,3,3,0.2235,980330
run_49b4b864,unimodal,79.0,0.25,0.0,1.8,0.0,Duran,0.025620253164556957,2000,3,15.451536506465644,1.2955829139222885,0.0013053515825269075,6,6,6,0,0,0.003,980330
run_8974a410,unimodal,79.0,0.25,0.0,1.8,0.25,Hersen,0.025620253164556957,2000,67,23.765856001610864,10.577103189920573,0.07937160172879297,446,19,12,3,4,0.223,980330
run_c43cede0,unimodal,79.0,0.25,0.0,1.8,0.25,Duran,0.025620253164556957,2000,4,20.26210692154483,2.8823242096458093,0.00041103873551554036,9,2,2,0,0,0.0045,980330
run_9840410d,unimodal,79.0,0.25,0.0,1.8,0.5,Hersen,0.025620253164556957,2000,54,25.000836230459466,11.714983937700598,0.04663277382330385,660,115,112,3,0,0.33,980330
run_26870e58,unimodal,79.0,0.25,0.0,1.8,0.5,Duran,0.025620253164556957,2000,4,11.677900310092104,2.3124722315050024,0.25081931275260005,91,37,37,0,0,0.0455,980330
run_b3dfa461,unimodal,79.0,0.25,0.1,1.8,0.0,Hersen,0.025620253164556957,2000,62,24.37358854785575,12.316208374897528,0.011694265965253832,205,23,15,8,0,0.1025,980330
run_fe15ccd1,unimodal,79.0,0.25,0.1,1.8,0.0,Duran,0.025620253164556957,2000,2,7.606091127037903,1.8686399112062357,0.006941606642338094,14,6,6,0,0,0.007,980330
run_8c38dec4,unimodal,79.0,0.25,0.1,1.8,0.25,Hersen,0.025620253164556957,2000,63,25.79534354956212,13.767576202961333,0.020592734710485863,224,24,19,5,0,0.112,980330
run_324568e4,unimodal,79.0,0.25,0.1,1.8,0.25,Duran,0.025620253164556957,2000,3,18.433797974116967,3.4409295950405374,0.001212734281782222,17,2,2,0,0,0.0085,980330
run_eefd2392,unimodal,79.0,0.25,0.1,1.8,0.5,Hersen,0.025620253164556957,2000,61,22.767232482788287,7.356102159905038,0.01842803265516896,482,145,137,8,0,0.241,980330
run_ae82c65a,unimodal,79.0,0.25,0.1,1.8,0.5,Duran,0.025620253164556957,2000,4,11.917771574349418,1.9521906962575761,0.10749060490047432,99,42,42,0,0,0.0495,980330
run_aacabf39,unimodal,79.0,0.25,0.15,1.8,0.0,Hersen,0.025620253164556957,2000,61,23.468598328302445,5.591414792911908,0.01207847117920074,34,20,5,9,6,0.017,980330
run_9c5a2e76,unimodal,79.0,0.25,0.15,1.8,0.0,Duran,0.025620253164556957,2000,3,13.74444671253517,1.478634198195981,0.001576572904332782,11,6,5,1,0,0.0055,980330
run_8c4b6b3c,unimodal,79.0,0.25,0.15,1.8,0.25,Hersen,0.025620253164556957,2000,64,24.483067865304537,8.947538809863035,0.019932540499631474,103,15,4,9,2,0.0515,980330
run_1a1b5d9a,unimodal,79.0,0.25,0.15,1.8,0.25,Duran,0.025620253164556957,2000,5,15.843288415960211,5.270807325235405,0.0032646099855937914,10,2,2,0,0,0.005,980330
run_4a404c3f,unimodal,79.0,0.25,0.15,1.8,0.5,Hersen,0.025620253164556957,2000,60,23.68785480598233,12.680957309527757,0.035063174536906966,311,99,86,10,3,0.1555,980330
run_3aa49add,unimodal,79.0,0.25,0.15,1.8,0.5,Duran,0.025620253164556957,2000,5,15.02103237926801,4.230046917454487,0.09326298520417944,95,42,42,0,0,0.0475,980330
run_8f0e53af,unimodal,120.0,0.0,0.0,1.8,0.0,Hersen,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
run_3d6452df,unimodal,120.0,0.0,0.0,1.8,0.0,Duran,0.125,354,0,0.0,0.0,0.0,0,0,0,0,0,0.0,980330
